Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,80.05000305175781,80.20999908447266,77.9000015258789,78.77999877929688,49.240882873535156,4918500
2014-01-03,78.94999694824219,79.12999725341797,78.33000183105469,78.70999908447266,49.1971321105957,1528500
2014-01-06,79.05999755859375,79.05999755859375,77.70999908447266,77.97000122070312,48.73460006713867,3119200
2014-01-07,78.16000366210938,79.25,77.9000015258789,78.94000244140625,49.34089660644531,2730700
2014-01-08,80.37000274658203,80.41999816894531,78.5199966430664,79.7300033569336,49.83469009399414,3419200
2014-01-09,79.80999755859375,80.81999969482422,79.77999877929688,80.4800033569336,50.303462982177734,3499600
2014-01-10,80.6500015258789,81.62000274658203,80.0199966430664,80.3499984741211,50.22220993041992,2350400
2014-01-13,80.41999816894531,80.5999984741211,79.62999725341797,79.81999969482422,49.89094161987305,3218600
2014-01-14,80.16999816894531,82.18000030517578,80.05000305175781,81.80999755859375,51.134765625,3530400
2014-01-15,82.0199966430664,82.80999755859375,81.76000213623047,82.75,51.72232437133789,2785700
2014-01-16,82.41999816894531,82.97000122070312,81.91000366210938,82.22000122070312,51.391056060791016,2352000
2014-01-17,82.02999877929688,82.0999984741211,80.9000015258789,81.4000015258789,50.87848663330078,2520700
2014-01-21,82.12999725341797,82.61000061035156,80.69000244140625,80.94999694824219,50.59722900390625,2860600
2014-01-22,81.20999908447266,81.43000030517578,78.91000366210938,80.22000122070312,50.14094543457031,5102600
2014-01-23,80.19000244140625,80.19000244140625,76.48999786376953,77.76000213623047,48.60335159301758,10501700
2014-01-24,77.16000366210938,77.7699966430664,75.86000061035156,75.91999816894531,47.453277587890625,5905800
2014-01-27,75.91999816894531,76.6500015258789,74.37000274658203,75.73999786376953,47.34075164794922,5521300
2014-01-28,75.95999908447266,77.48999786376953,75.76000213623047,76.69000244140625,47.934539794921875,2963000
2014-01-29,76.72000122070312,78.02999877929688,75.5999984741211,76.66000366210938,47.915802001953125,4430100
2014-01-30,77.38999938964844,78.93000030517578,76.6500015258789,78.05999755859375,48.79084396362305,4588100
2014-01-31,79.0,80.81999969482422,77.5,78.76000213623047,49.22840118408203,5926200
2014-02-03,78.98999786376953,79.41000366210938,76.7300033569336,77.20999908447266,48.25956726074219,4799300
2014-02-04,77.58999633789062,78.83999633789062,77.16999816894531,78.04000091552734,48.77836608886719,3660200
2014-02-05,77.37000274658203,77.94999694824219,76.31999969482422,77.61000061035156,48.50959014892578,4798800
2014-02-06,78.0,79.25,77.55999755859375,79.12000274658203,49.45339584350586,2804200
2014-02-07,79.91999816894531,81.11000061035156,79.56999969482422,80.83000183105469,50.522216796875,3439400
2014-02-10,80.70999908447266,81.30000305175781,80.37999725341797,80.95999908447266,50.603477478027344,3019900
2014-02-11,81.27999877929688,82.2699966430664,80.81999969482422,81.68000030517578,51.053497314453125,4130700
2014-02-12,81.69999694824219,82.97000122070312,81.69999694824219,82.62000274658203,51.641075134277344,3191500
2014-02-13,81.87999725341797,83.76000213623047,81.87999725341797,83.37000274658203,52.10983657836914,3304900
2014-02-14,83.19999694824219,84.5199966430664,83.01000213623047,84.47000122070312,52.79738998413086,2930800
2014-02-18,84.98999786376953,85.4000015258789,84.02999877929688,85.33000183105469,53.33492660522461,3614800
2014-02-19,85.0,86.0999984741211,84.12999725341797,84.27999877929688,52.67863082885742,3899600
