Date,AAPL,AMD,AMZN,BABA,BIDU,GOOG,IBM,JD,META,MSFT,NVDA,ORCL,PDD,UBER
2023-01-03,130.27999877929688,66.0,85.45999908447266,91.11000061035156,118.86000061035156,89.83000183105469,141.10000610351562,57.970001220703125,122.81999969482422,243.0800018310547,148.50999450683594,82.47000122070312,85.51000213623047,25.3700008392334
2023-01-04,126.88999938964844,65.0,86.55000305175781,98.8499984741211,126.54000091552734,91.01000213623047,142.07000732421875,61.68000030517578,127.37999725341797,232.27999877929688,145.6699981689453,84.19999694824219,89.16999816894531,25.729999542236328
2023-01-05,127.12999725341797,64.1500015258789,85.33000183105469,101.4000015258789,128.3300018310547,88.06999969482422,142.44000244140625,63.5,126.12999725341797,227.1999969482422,144.91000366210938,85.0,90.0,25.729999542236328
2023-01-06,126.01000213623047,63.150001525878906,83.02999877929688,104.11000061035156,130.91000366210938,87.36000061035156,142.3800048828125,63.95500183105469,128.97000122070312,223.0,144.74000549316406,84.73999786376953,94.22000122070312,25.860000610351562
2023-01-09,130.47000122070312,66.22000122070312,87.45999908447266,111.98999786376953,135.7899932861328,89.19499969482422,144.0800018310547,64.80999755859375,131.16000366210938,226.4499969482422,152.83999633789062,86.83999633789062,99.01000213623047,27.299999237060547
2023-01-10,130.25999450683594,66.66999816894531,87.56999969482422,112.97000122070312,133.61000061035156,86.72000122070312,143.61000061035156,64.0999984741211,127.2699966430664,227.75999450683594,155.07000732421875,85.63999938964844,96.45999908447266,27.399999618530273
2023-01-11,131.25,68.38999938964844,90.93000030517578,114.5999984741211,136.5800018310547,90.05999755859375,145.0,63.279998779296875,130.9600067138672,231.2899932861328,158.39999389648438,87.37000274658203,93.77999877929688,28.239999771118164
2023-01-12,133.8800048828125,70.06999969482422,96.93000030517578,113.66000366210938,137.00999450683594,92.4000015258789,144.8800048828125,63.02000045776367,133.44000244140625,235.25999450683594,161.0,88.69999694824219,92.87999725341797,28.850000381469727
2023-01-13,132.02999877929688,69.83999633789062,94.18000030517578,114.5199966430664,135.39999389648438,91.52799987792969,144.05999755859375,63.84000015258789,134.97000122070312,237.0,162.77999877929688,87.94999694824219,94.30000305175781,28.68000030517578
2023-01-17,134.8300018310547,70.87000274658203,98.68000030517578,115.5199966430664,135.4600067138672,92.77999877929688,146.4199981689453,61.119998931884766,136.17999267578125,237.97000122070312,168.99000549316406,89.19000244140625,94.51000213623047,29.440000534057617
