Date,AAPL,AMZN,BABA,BIDU,GOOG,IBM,JD,META,MSFT,ORCL,PDD,UBER
2023-01-03,124.21630096435547,85.81999969482422,90.75994873046875,119.12999725341797,89.69999694824219,133.63421630859375,56.78586959838867,124.73999786376953,237.0360107421875,82.14888000488281,84.52999877929688,25.360000610351562
2023-01-04,125.49749755859375,85.13999938964844,102.54156494140625,131.75999450683594,88.70999908447266,134.62548828125,65.1205062866211,127.37000274658203,226.6672821044922,82.89461517333984,91.05999755859375,25.90999984741211
2023-01-05,124.1666488647461,83.12000274658203,103.19281768798828,132.52999877929688,86.7699966430664,133.21881103515625,64.92346954345703,126.94000244140625,219.9493865966797,82.7278060913086,95.43000030517578,25.549999237060547
2023-01-06,128.73524475097656,86.08000183105469,105.97541046142578,133.05999755859375,88.16000366210938,135.66397094726562,63.34718322753906,130.02000427246094,222.54153442382812,84.05247497558594,95.95999908447266,26.399999618530273
2023-01-09,129.26161193847656,87.36000061035156,109.35991668701172,133.38999938964844,88.80000305175781,135.52235412597656,62.19451904296875,129.47000122070312,224.70828247070312,85.11617279052734,95.5199966430664,27.399999618530273
2023-01-10,129.83766174316406,89.87000274658203,113.35618591308594,134.75,89.23999786376953,136.70245361328125,62.70681381225586,132.99000549316406,226.41995239257812,85.1949691772461,94.08999633789062,28.040000915527344
2023-01-11,132.57884216308594,95.08999633789062,113.49433135986328,138.6199951171875,92.26000213623047,137.13673400878906,62.10585021972656,132.88999938964844,233.26644897460938,87.2632827758789,93.0199966430664,28.350000381469727
2023-01-12,132.49937438964844,95.2699966430664,111.64913940429688,136.52000427246094,91.91000366210938,137.4105224609375,62.23392105102539,136.7100067138672,235.9773712158203,87.4405746459961,93.45999908447266,29.030000686645508
2023-01-13,133.8401336669922,98.12000274658203,115.45793914794922,138.97999572753906,92.80000305175781,137.73150634765625,62.65755081176758,136.97999572753906,236.68971252441406,87.8542251586914,97.0,29.440000534057617
2023-01-17,135.01210021972656,96.05000305175781,113.66207885742188,130.6199951171875,92.16000366210938,137.0706329345703,59.07149124145508,135.36000061035156,237.79783630371094,87.2632827758789,94.8499984741211,29.200000762939453
2023-01-18,134.28709411621094,95.45999908447266,111.71820831298828,125.91999816894531,91.77999877929688,132.55795288085938,57.652828216552734,133.02000427246094,233.30601501464844,85.40180206298828,89.55000305175781,28.959999084472656
2023-01-19,134.3466796875,93.68000030517578,115.03364562988281,128.17999267578125,93.91000366210938,132.75621032714844,58.53948974609375,136.14999389648438,229.46722412109375,84.64341735839844,90.22000122070312,29.030000686645508
2023-01-20,136.92893981933594,97.25,118.27013397216797,135.75,99.27999877929688,133.30377197265625,59.53452682495117,139.3699951171875,237.66920471191406,85.93365478515625,92.83999633789062,30.360000610351562
2023-01-23,140.1468048095703,97.5199966430664,117.94451141357422,136.33999633789062,101.20999908447266,133.9268798828125,60.15519332885742,143.27000427246094,240.00413513183594,87.6277084350586,95.30000305175781,30.530000686645508
2023-01-24,141.55711364746094,96.31999969482422,117.85570526123047,132.7899932861328,99.20999908447266,133.5775604248047,60.70689010620117,143.13999938964844,239.46986389160156,88.34668731689453,96.30999755859375,29.93000030517578
2023-01-25,140.89169311523438,97.18000030517578,118.65496063232422,134.22999572753906,96.7300033569336,132.8883819580078,60.47045135498047,141.5,238.05508422851562,88.28759765625,96.48999786376953,30.290000915527344
